_REC_TIME,gen_LATI,gen_LONG,Penggunaan,Pengenal,Status_T_1,Affilias_1,Potensi__1,HKM,Status_P_1,Posisi_B_1,KECAMATAN,DESA
05/19/2025 09:55:42.853 GMT+07:00,"-7,95546778291","111,90346326700",Masjid,sunan Kali jogo,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,Desa,Kecamatan Mojo,Ngetrep
05/19/2025 10:00:25.248 GMT+07:00,"-7,95638685767","111,90734446000",Masjid,pendowo limo,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:07:48.741 GMT+07:00,"-7,95216184899","111,90365944100",Musholla,al hidayah BASORI,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:12:34.699 GMT+07:00,"-7,94691672133","111,90048538100",Masjid,Al Huda YULI,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:21:39.564 GMT+07:00,"-7,95537942092","111,91426791300",Masjid,Baitul mutaqin MAHSUN,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Tidak ada,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 10:24:53.511 GMT+07:00,"-7,95702738001","111,91670235200",Masjid,An Nishom SLAMET,SHM,BH NU,Perlu Konfirmasi,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:29:14.735 GMT+07:00,"-7,95486076032","111,91394839400",Masjid,miftahul hidayah H.SLAMET,SHM,BH NU,Wakaf Sebagian,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:32:39.257 GMT+07:00,"-7,95194734360","111,91046420500",Masjid,baitul maliq PRIYONO,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:34:32.363 GMT+07:00,"-7,95276536693","111,91208493300",Musholla,Rosaji MULYADI,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:38:08.541 GMT+07:00,"-7,94802578776","111,90722812000",Masjid,al Huda KASIYANTO,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:42:18.506 GMT+07:00,"-7,94308145185","111,90468169700",Masjid,an nur JUMALI,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:53:37.413 GMT+07:00,"-7,94992248404","111,91119611300",Musholla,rosaji DARNO,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 11:02:02.974 GMT+07:00,"-7,94739255712","111,90845489500",Musholla,baitul rohman MESMAN,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 11:18:40.032 GMT+07:00,"-7,94063117879","111,90705511700",Musholla,PATKUROHMAN,Perlu Konfirmasi,BH NU,Perlu Konfirmasi,HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 11:21:51.454 GMT+07:00,"-7,93799227832","111,90625045400",Masjid,SUBATUSOLIHAH,Perlu Konfirmasi,BH NU,Perlu Konfirmasi,HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 11:28:02.348 GMT+07:00,"-7,93646383284","111,90223093300",Masjid,SABILIL MUSTAQIN,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
